#SampleID	BarcodeSequence	LinkerPrimerSequence	PCRplate	Genotype	Probiotic	Temperature	HeatTreat	Day	Description
2C1_0D			8	2	C	26	C	0	2C1_0D
2C1_1D			1	2	C	26	C	1	2C1_1D
2C1_37D			7	2	C	26	C	37	2C1_37D
2C1_3D			2	2	C	26	C	3	2C1_3D
2C1_40D			8	2	C	26	C	40	2C1_40D
2C1_43D			7	2	C	26	C	43	2C1_43D
2C1_8D			2	2	C	26	C	8	2C1_8D
2C2_0D			1	2	C	26	C	0	2C2_0D
2C2_1D			1	2	C	26	C	1	2C2_1D
2C2_37D			7	2	C	26	C	37	2C2_37D
2C2_3D			2	2	C	26	C	3	2C2_3D
2C2_40D			8	2	C	26	C	40	2C2_40D
2C2_43D			7	2	C	26	C	43	2C2_43D
2C2_8D			2	2	C	26	C	8	2C2_8D
2C3_0D			1	2	C	26	C	0	2C3_0D
2C3_1D			1	2	C	26	C	1	2C3_1D
2C3_37D			8	2	C	26	C	37	2C3_37D
2C3_3D			2	2	C	26	C	3	2C3_3D
2C3_40D			8	2	C	26	C	40	2C3_40D
2C3_43D			7	2	C	26	C	43	2C3_43D
2C3_8D			2	2	C	26	C	8	2C3_8D
2C4_0D			1	2	C	26	H	0	2C4_0D
2C4_1D			1	2	C	26	H	1	2C4_1D
2C4_20D			8	2	C	28.5	H	20	2C4_20D
2C4_37D			8	2	C	31.5	H	37	2C4_37D
2C4_3D			2	2	C	26	H	3	2C4_3D
2C4_40D			8	2	C	31.5	H	40	2C4_40D
2C4_43D			7	2	C	31.5	H	43	2C4_43D
2C4_8D			2	2	C	26	H	8	2C4_8D
2C5_0D			1	2	C	26	H	0	2C5_0D
2C5_1D			1	2	C	26	H	1	2C5_1D
2C5_37D			8	2	C	31.5	H	37	2C5_37D
2C5_3D			2	2	C	26	H	3	2C5_3D
2C5_40D			8	2	C	31.5	H	40	2C5_40D
2C5_43D			7	2	C	31.5	H	43	2C5_43D
2C5_8D			2	2	C	26	H	8	2C5_8D
2C6_0D			1	2	C	26	H	0	2C6_0D
2C6_1D			1	2	C	26	H	1	2C6_1D
2C6_37D			8	2	C	31.5	H	37	2C6_37D
2C6_3D			2	2	C	26	H	3	2C6_3D
2C6_40D			8	2	C	31.5	H	40	2C6_40D
2C6_43D			7	2	C	31.5	H	43	2C6_43D
2C6_8D			8	2	C	26	H	8	2C6_8D
2N1_0D			1	2	N	26	C	0	2N1_0D
2N1_1D			1	2	N	26	C	1	2N1_1D
2N1_37D			8	2	N	26	C	37	2N1_37D
2N1_3D			2	2	N	26	C	3	2N1_3D
2N1_40D			8	2	N	26	C	40	2N1_40D
2N1_43D			7	2	N	26	C	43	2N1_43D
2N1_8D			2	2	N	26	C	8	2N1_8D
2N2_0D			1	2	N	26	C	0	2N2_0D
2N2_1D			1	2	N	26	C	1	2N2_1D
2N2_37D			8	2	N	26	C	37	2N2_37D
2N2_3D			2	2	N	26	C	3	2N2_3D
2N2_40D			8	2	N	26	C	40	2N2_40D
2N2_8D			2	2	N	26	C	8	2N2_8D
2N3_0D			1	2	N	26	C	0	2N3_0D
2N3_1D			8	2	N	26	C	1	2N3_1D
2N3_37D			8	2	N	26	C	37	2N3_37D
2N3_3D			2	2	N	26	C	3	2N3_3D
